LON,LAT,EDO,CLAVE,ESTACION,ago-23
-97.2225,19.921944,VER,TOMVC,"Tomata, Ver.",398.62
-96.950278,19.233611,VER,TOTVC,"Totutla, Ver.",421.64
-98.153056,21.039722,VER,TRRVC,"Terrerillos, Ver.",28.8
-97.4,20.955556,VER,TXPVC,"Observatorio de Tuxpan, Ver.",119.42
-95.416667,18.466667,VER,TZAVC,"Tres Zapotes, Ver.",185.21
-96.111111,19.154167,VER,VERVC,"Observatorio de Veracruz, Ver.",479.31
-96.613889,19.022222,VER,VTEVC,"Villa Tejeda, Ver.",218.6
-96.927778,19.542222,VER,XBMVC,"Xalapa Bomberos Protección Civil, Ver.",403.2
-96.929167,19.511944,VER,XBSVC,"Xalapa Base Protección Civil, Ver.",306.8
-96.863889,19.546667,VER,XCAVC,"Xalapa Castillo Protección Civil, Ver.",186.6
-96.85,19.55,VER,XCFVC,"Xalapa CFE, Ver.",362.58
-96.903889,19.542222,VER,XCRVC,"Xalapa Cristal, Ver.",316.93
-96.935278,19.529167,VER,XIMVC,"Xalapa IMAC Protección Civil, Ver.",313.8
-96.898056,19.556667,VER,XMNVC,"Xalapa Minas Protección Civil, Ver.",283.8
-96.916667,19.533333,VER,XOBVC,"Observatorio de Xalapa, Ver.",237.06
-96.871667,19.511667,VER,XOLVC,Xalapa Olmos,174.72
-96.923889,19.527222,VER,XPMVC,"Xalapa Palacio Protección Civil, Ver.",328.8
-96.942222,19.550556,VER,XSMVC,"Xalapa Seminario Protección Civil, Ver.",290.8
-96.929444,19.563333,VER,XSPVC,"Xalapa Sefiplan Protección Civil, Ver.",284.4
-96.894444,19.555833,VER,XSUVC,"Xalapa Sumidero, Ver.",243.62
-96.777778,19.863889,VER,YECVC,"Yecuatla, Ver.",182.6
-97.388889,19.413889,VER,ZALVC,"Zalayeta, Ver.",35.5
-89.681111,20.649444,YUC,ABAYC,"Abalá, Yuc.",259
-89.081667,20.463056,YUC,CANYC,"Cantamayec, Yuc.",144.5
-90.3825,20.858056,YUC,CELYC,"Celestún, Yuc. SMN*",86.2
-89.829444,20.752778,YUC,CHOYC,"Chocholá, Yuc.",136.12
-89.638056,21.03,YUC,CICYC,"Centro de Investigación Científica, Yuc.",147.7
-89.501111,21.078889,YUC,CONYC,"Conkal, Yuc.",203.86
-87.676667,21.5125,YUC,CYOYC,"El Cuyo, Yuc.",78.3
-89.658056,20.984167,YUC,GARYC,"Organismo de Cuenca Península de Yucatán, Yuc.",152.63
-89.612778,20.986111,YUC,GEEYC,"Gerencia, Yuc.",132.93
-89.651111,20.946389,YUC,MEOYC,"Observatorio de Mérida, Yuc.",108.61
-89.4375,21.105556,YUC,MOCYC,"Mocochá, Yuc.",105.2
-89.291667,21.094167,YUC,MTOYC,"Motul, Yuc.",140.92
-89.711667,20.493333,YUC,MUNYC,"Muna, Yuc.",255.73
-89.394722,20.290556,YUC,OXKYC,"Oxkutzcab, Yuc.",255.01
-88.930833,20.1325,YUC,PETYC,"Peto, Yuc.",299.07
-89.653889,21.275833,YUC,PROYC,"Observatorio de Progreso, Yuc.",70.32
-89.558056,20.397778,YUC,TICYC,"Ticul, Yuc.",186.8
-88.1725,21.158611,YUC,TIZYC,"Tizimín, Yuc.",95.62
-88.204167,20.69,YUC,VALYC,"Observatorio de Valladolid, Yuc.",250.32
-103.459167,21.811389,ZAC,ATGZC,"Atolinga, Zac.",177
-102.733889,23.602222,ZAC,CFPZC,"Cañitas de Felipe Pescador, Zac",42.5
-102.896111,21.997222,ZAC,CHIZC,"El Chique, Zac.",107.43
-101.389167,24.621389,ZAC,CORZC,"Concepción del Oro, Zac.",9
-103.098333,23.693333,ZAC,ELCZC,"El Cazadero, Zac.",55.54
-102.040833,22.673056,ZAC,ELSZC,"El Saladillo, Zac.",22.54
-103.35,21.645833,ZAC,EXCZC,"Miguel Alemán, Zac.",133.64
-102.890833,23.173889,ZAC,FREZC,"Fresnillo, Zac.",39.1
-103.093333,22.933333,ZAC,GJAZC,"General Joaquín Amaro, Zac.",110.85
-102.506667,22.746667,ZAC,GPEZC,"Guadalupe, Zac.",40.63
-103.397778,24.281667,ZAC,JALZC,"Juan Aldama, Zac.",52
-103.114167,21.404722,ZAC,JCHZC,"Juchipila, Zac.",152.4
-102.566944,22.778889,ZAC,LBUZC,"Observatorio de Zacatecas, Zac.",51.29
-103.603056,22.686944,ZAC,LFLZC,"La Florida, Zac.",115.02
-102.660556,22.996944,ZAC,LLBZC,"Llano Blanco, Zac.",39.54
-102.251667,22.438611,ZAC,LMOZC,"Luis Moya, Zac.",130.44
-103.382778,22.845278,ZAC,LOBZC,"Manuel Felgueres, Zac.",105.05
-101.985556,22.264722,ZAC,LORZC,"Loreto, Zac.",13.5
-103.216944,23.18,ZAC,LREZC,"Gobernador Leobardo Reynoso, Zac.",93.52
-102.845556,21.3575,ZAC,NCTZC,"Nochistlán, Zac.",74.11
-102.615,24.983056,ZAC,NTAZC,"Nuevo Tampico, Zac.",44.1
-102.798056,22.347778,ZAC,PALZC,"Palomas, Zac.",96.44
-101.399167,22.1175,ZAC,PINZC,"Pino Suárez, Zac.",32.1
-102.903611,21.711111,ZAC,PMOZC,"Los Moraleños, Zac.",111.03
-103.025833,23.816944,ZAC,RGRZC,"Río Grande, Zac.",35.03
-102.884444,24.322222,ZAC,SFOZC,"San Francisco, Zac.",50.28
-103.506111,24.288611,ZAC,SGOZC,"Santiago, Zac.",39.37
-103.636667,23.638889,ZAC,SOMZC,"Observatorio de Sombrerete, Zac.",40.1
-103.495833,22.326667,ZAC,STEZC,"Independencia Nacional, Zac.",177.2
-103.108889,22.923611,ZAC,STRZC,"Santa Rosa, Zac.",133.56
-102.864167,22.120556,ZAC,TAYZC,"Ing. Julián Adame Alatorre, Zac.",115.43
-103.879722,23.471944,ZAC,TCHZC,"Chalchihuites, Zac.",78.52
-103.461944,21.468611,ZAC,TGOZC,"Teúl de González Ortega, Zac.",134.62
-103.309444,21.773611,ZAC,TLLZC,"Tlaltenango, Zac.",75.41
-101.715833,22.3475,ZAC,VHGZC,"Villa Hidalgo, Zac.",5.8
-103.3375,21.588889,ZAC,VILZC,"José María Morelos, Zac.",178.17
-102.506111,22.746667,ZAC,ZA2ZC,"Zacatecas, Zac. SMN*",34.21
-102.576667,22.761389,ZAC,ZACZC,"Zacatecas, Zac.",39.74
